Year,Sex,Age Group,Unique SK Racers
2020,Men,MM1,1
2020,Men,MM2,1
2020,Men,MM3,1
2020,Men,SM,6
2020,Men,U20 M,2
2020,Women,MW5,1
2020,Women,SW,5
2020,Women,U20 W,3
2021,Men,SM,1
2021,Women,U20 W,2
2022,Men,MM3,1
2022,Men,MM5,1
2022,Men,SM,7
2022,Men,U18 M,3
2022,Men,U20 M,4
2022,Women,MW1,1
2022,Women,MW5,1
2022,Women,SW,1
2022,Women,U18 W,5
2022,Women,U20 W,7
2023,Men,MM3,1
2023,Men,MM4,1
2023,Men,MM5,1
2023,Men,MM7,1
2023,Men,SM,3
2023,Men,U14 M,3
2023,Men,U16 M,4
2023,Men,U18 M,8
2023,Men,U20 M,4
2023,Women,MW5,1
2023,Women,SW,1
2023,Women,U16 W,3
2023,Women,U18 W,6
2023,Women,U20 W,4
2024,Men,MM1,2
2024,Men,MM2,1
2024,Men,MM4,1
2024,Men,MM5,1
2024,Men,MM7,2
2024,Men,SM,1
2024,Men,U14 M,5
2024,Men,U16 M,4
2024,Men,U18 M,8
2024,Men,U20 M,4
2024,Women,MW5,1
2024,Women,U14 W,2
2024,Women,U16 W,8
2024,Women,U18 W,5
2024,Women,U20 W,3
2025,Men,MM1,1
2025,Men,MM2,2
2025,Men,MM3,1
2025,Men,MM4,1
2025,Men,MM5,1
2025,Men,MM8,1
2025,Men,SM,1
2025,Men,U14 M,6
2025,Men,U16 M,4
2025,Men,U18 M,7
2025,Men,U20 M,5
2025,Women,MW5,1
2025,Women,MW9,1
2025,Women,SW,1
2025,Women,U12 W,1
2025,Women,U14 W,7
2025,Women,U16 W,8
2025,Women,U18 W,6
2025,Women,U20 W,3
